name,rating_nums,summary,author,peple_nums
京华烟云,8.5,林语堂的《红楼梦》,林语堂 / 张振玉 / 陕西师范大学出版社 / 2005-7 / 43.00元,"(
                    23603人评价
                )"
设计中的设计,8.6,日常生活的无限可能性,[日] 原研哉 / 朱锷 / 山东人民出版社 / 2006-11 / 48.00元,"(
                    23127人评价
                )"
杀死一只知更鸟,9.2,有一种东西不能遵循从众原则，那就是——人的良心,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,"(
                    21333人评价
                )"
我执,8.0,梁文道的私密日记,梁文道 / 广西师范大学出版社 / 2010-10 / 35.00元,"(
                    24956人评价
                )"
自控力,8.3,要么瘦，要么死,[美]  凯利·麦格尼格尔 / 王岑卉 / 文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元,"(
                    23910人评价
                )"
偷书贼,8.0,不能说偷，是窃，窃你懂吗,[澳] 马克斯·苏萨克 / 孙张静 / 南海出版公司 / 2007-8 / 25.00元,"(
                    24611人评价
                )"
夏洛的网,8.5,猪与蜘蛛,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,"(
                    22673人评价
                )"
变形记,8.4,格里高里清早醒来发现自己变成了甲虫,[奥] 卡夫卡 / 叶廷芳 / 浙江文艺出版社 / 2003-4 / 16.00元,"(
                    23223人评价
                )"
没有色彩的多崎作和他的巡礼之年,8.2,并不是一切都消失在了时间的长河里,[日] 村上春树 / 施小炜 / 南海出版公司 / 2013-10-1 / 39.50元,"(
                    23396人评价
                )"
狂人日记,8.6,中国现代文学史上第一篇真正的现代白话小说,鲁迅 / 京华出版社 / 2006-3 / 39.80元,"(
                    22208人评价
                )"
激荡三十年（上）,8.8,这是一个最好的时代，也是一个最坏的时代,吴晓波 / 中信出版社 浙江人民出版社 / 2007-1 / 35.00,"(
                    21536人评价
                )"
海底两万里,8.4,你听说过鹦鹉螺号吗？,[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元,"(
                    22415人评价
                )"
文学回忆录（全2册）,9.2,木心留给世界的礼物,木心 口述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,"(
                    20202人评价
                )"
人性的弱点全集,8.3,西方世界最持久的人文畅销书,[美] 戴尔·卡耐基 / 袁玲 / 中国发展出版社 / 2008-1 / 25.00元,"(
                    22188人评价
                )"
九州·缥缈录,8.8,乱世的英雄史诗,江南 / 新世界出版社 / 2005-6 / 20.00元,"(
                    20603人评价
                )"
一句顶一万句,8.7,一句胜过千年,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,"(
                    21026人评价
                )"
尼罗河上的惨案,8.7,阿婆代表作之一,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,"(
                    20857人评价
                )"
呼兰河传,8.9,萧红的童年往事,萧红 / 百花文艺出版社 / 2005-01 / 19.00,"(
                    19979人评价
                )"
我的精神家园,9.1,活过，爱过，写过,王小波 / 文化艺术出版社 / 1997 / 18.80元,"(
                    19319人评价
                )"
占星术杀人魔法,8.3,一桩占星术连续杀人案件,[日] 岛田庄司 / 王鹏帆 / 新星出版社 / 2008-9 / 28.00,"(
                    20861人评价
                )"
浪潮之巅,9.1,了解IT领域的入门读物,吴军 / 电子工业出版社 / 2011-8 / 55.00元,"(
                    19104人评价
                )"
舞！舞！舞！,8.3,深入村上春树的心灵腹地,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-6 / 25.00元,"(
                    21117人评价
                )"
人生,8.4,如果你是高加林，你要如何选择？,路遥 / 北京十月文艺出版社 / 2009-5 / 20.00元,"(
                    20575人评价
                )"
我与地坛,9.0,这是你的罪孽与福祉,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,"(
                    19170人评价
                )"
你今天真好看,8.7,呆萌可爱的动物段子手,[美]莉兹•克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元,"(
                    19982人评价
                )"
野火集,8.8,中国人你为什么不生气？,龙应台 / 文汇出版社 / 2005-8 / 25.00元,"(
                    19684人评价
                )"
妻妾成群,8.2,,苏童 / 上海文艺出版社 / 2004-8 / 23.00元,"(
                    21235人评价
                )"
高效能人士的七个习惯（精华版）,8.2,,[美] 史蒂芬·柯维 / 高新勇 / 中国青年出版社 / 2011-6 / 29.00元,"(
                    20613人评价
                )"
浮生六记,8.9,,（清）沈复 / 人民文学出版社 / 1999/1 / 5.70元,"(
                    19001人评价
                )"
海子的诗,8.9,,海子 / 人民文学出版社 / 1999-04 / 15.40,"(
                    18345人评价
                )"
项链,8.3,,[法] 莫泊桑 / 顾加琛 等 / 河北教育出版社 / 2005-2 / 28.00元,"(
                    19684人评价
                )"
教父,9.0,,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,"(
                    17923人评价
                )"
带一本书去巴黎,8.5,,林达 / 生活·读书·新知三联书店 / 2002-5 / 35.00元,"(
                    18766人评价
                )"
娱乐至死,8.6,,[美] 尼尔·波兹曼 / 章艳 / 广西师范大学出版社 / 2011-6 / 29.80元,"(
                    18780人评价
                )"
寻羊冒险记,8.1,,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 18.80元,"(
                    19785人评价
                )"
观念的水位,8.3,,刘瑜 / 浙江大学出版社 / 2013-1 / 36.00元,"(
                    19301人评价
                )"
中国大历史,8.3,,黄仁宇 / 生活·读书·新知三联书店 / 2007-2 / 19.00元,"(
                    19451人评价
                )"
子不语1,9.0,,夏达 / 新世纪出版社 / 2009-12 / RMB36.00,"(
                    17366人评价
                )"
罗杰疑案,8.9,,[英] 阿加莎·克里斯蒂 / 张江云 / 人民文学出版社 / 2006-5 / 21.00元,"(
                    17739人评价
                )"
巨流河,8.7,,齐邦媛 / 生活·读书·新知三联书店 / 2010-10 / 39.00元,"(
                    18254人评价
                )"
动物凶猛,8.3,,王朔 / 中国电影出版社 / 2004-2 / 15.5,"(
                    19324人评价
                )"
父与子全集,9.1,,[德] 埃·奥·卜劳恩 绘 / 杨莹 / 中国工人出版社 / 2003-4 / 20.00元,"(
                    17012人评价
                )"
小姨多鹤,8.6,,严歌苓 / 作家出版社 / 2008-4 / 28.00元,"(
                    18225人评价
                )"
退步集,8.1,,陈丹青 / 广西师范大学出版社 / 2005-1 / 38.00元,"(
                    19253人评价
                )"
第一炉香,8.4,,张爱玲 / 花城出版社 / 1997-3 / 11.5,"(
                    18681人评价
                )"
爱的艺术,8.8,,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,"(
                    17363人评价
                )"
斯通纳,8.8,,[美] 约翰·威廉斯 / 杨向荣 / 世纪文景/上海人民出版社 / 2016-1 / 39.00元,"(
                    17273人评价
                )"
云中歌1,8.1,,桐华 / 作家出版社 / 2007-9 / 24.80元,"(
                    18758人评价
                )"
芳华,8.1,,严歌苓 / 人民文学出版社 / 2017-4-1 / CNY 39.00,"(
                    18727人评价
                )"
来不及说我爱你,8.1,,匪我思存 / 新世界出版社 / 2006-9 / 20.00元,"(
                    18595人评价
                )"
人间词话,9.0,,王国维 / 上海古籍出版社 / 1998-12-01 / 9.80元,"(
                    16732人评价
                )"
夹边沟记事,9.2,,杨显惠 / 花城出版社 / 2008-09 / 34.00元,"(
                    16142人评价
                )"
可爱的洪水猛兽,8.1,,韩寒 / 万卷出版公司 / 2009-08-01 / 25.00元,"(
                    18621人评价
                )"
相约星期二,8.4,,[美] 米奇·阿尔博姆 / 吴洪 / 上海译文出版社 / 2007-7 / 19.00元,"(
                    17636人评价
                )"
一千零一夜,8.6,,纳训 / 人民文学出版社 / 2003-01 / 22.0,"(
                    17270人评价
                )"
白银时代,8.4,,王小波 / 花城出版社 / 1997-5 / 10.00元,"(
                    17696人评价
                )"
未来简史,8.5,,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2017-1 / 68,"(
                    17231人评价
                )"
告白,8.6,,湊佳苗 / 丁世佳 / 時報文化 / 2009年8月31日 / NT$250,"(
                    16673人评价
                )"
万水千山走遍,8.8,,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,"(
                    16291人评价
                )"
台北人,8.9,,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,"(
                    16095人评价
                )"
哈姆莱特,8.5,,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,"(
                    17006人评价
                )"
后宫·甄嬛传Ⅰ,8.0,,流潋紫 / 花山文艺出版社 / 2007-2 / 22.00元,"(
                    17912人评价
                )"
阿麦从军：全新修订版,8.9,,鲜橙 / 作家出版社 / 2017-8-1 / 108.00元,"(
                    15098人评价
                )"
罗生门,8.7,,[日]芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,"(
                    16541人评价
                )"
琅琊榜,8.6,,海宴 / 朝华出版社 / 2007-12 / 49.80元,"(
                    16222人评价
                )"
星空,9.0,,幾米 / 大塊文化 / 2009-5-1 / NT369,"(
                    15636人评价
                )"
朗读者,8.3,,[德] 本哈德·施林克 / 钱定平 / 译林出版社 / 2009-2 / 22.00,"(
                    17138人评价
                )"
雨季不再来,8.7,,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,"(
                    16306人评价
                )"
面纱,8.7,,[英] W.萨默塞特·毛姆 / 阮景林 / 重庆出版社 / 2012-5 / 32.00元,"(
                    16224人评价
                )"
雾都孤儿,8.1,,[英]狄更斯 / 荣如德 / 上海译文出版社 / 1991-7 / 10.10元,"(
                    17506人评价
                )"
深夜食堂 01,9.1,,[日] 安倍夜郎 / 陈颖 / 湖南文艺出版社 / 2013-1 / 25.00元,"(
                    15268人评价
                )"
万物有灵且美,8.8,,[英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80,"(
                    15817人评价
                )"
枪炮、病菌与钢铁,8.8,,[美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元,"(
                    15708人评价
                )"
红拂夜奔,8.6,,王小波 / 江苏文艺出版社 / 2005-1 / 28.00元,"(
                    16068人评价
                )"
上帝掷骰子吗,9.2,,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,"(
                    14752人评价
                )"
