name,rating_nums,summary,author,peple_nums
许三观卖血记,8.7,余华的悲凉，都在那一碗炒猪肝里了,余华 / 南海出版公司 / 1998-9 / 16.80元,"(
                    70860人评价
                )"
万历十五年,8.9,见微知著，历史观的颠覆,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,"(
                    69029人评价
                )"
撒哈拉的故事,9.0,关于漂泊的一切,三毛 / 皇冠出版社 / 1976 / 160 TWD,"(
                    67759人评价
                )"
向左走·向右走,8.4,两条平行线相遇的可能,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,"(
                    72958人评价
                )"
哈利·波特与混血王子,8.8,感情线纷乱的一部。再见邓布利多,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元,"(
                    65548人评价
                )"
盗墓笔记,8.3,想象奇诡的大型RPG游戏,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,"(
                    67845人评价
                )"
黄金时代,8.8,能把性爱写得如此坦荡的，大概只有王二了,王小波 / 花城出版社 / 1999-3 / 19.00元,"(
                    64198人评价
                )"
苏菲的世界,8.5,最平易近人的哲学入门,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元,"(
                    66458人评价
                )"
窗边的小豆豆,8.7,真正懂孩子的教育经,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,"(
                    63998人评价
                )"
天龙八部,9.1,“有情皆孽，无人不冤”,金庸 / 有1996年11月北平第4次印刷本 / 生活.读书.新知三联书店 / 1994-5 / 96.0,"(
                    59945人评价
                )"
三国演义（全二册）,9.2,是非成败转头空,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,"(
                    58535人评价
                )"
哈利·波特与凤凰社,8.7,暴脾气的哈利,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,"(
                    61959人评价
                )"
悟空传,8.4,猴子还是那个猴子，世界早已不是原来的世界,今何在 / 光明日报出版社 / 2001-4 / 14.80元,"(
                    64795人评价
                )"
牧羊少年奇幻之旅,8.6,你自己就是最大的宝藏,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,"(
                    61583人评价
                )"
海边的卡夫卡,8.1,背负诅咒的少年，平行世界中的奥德赛,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,"(
                    64948人评价
                )"
灿烂千阳,8.8,唯有希望与爱可以驱散阴霾,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,"(
                    58104人评价
                )"
呼啸山庄,8.4,近乎暴虐的爱与恨，中文译名后无来者,（英）勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元,"(
                    61112人评价
                )"
兄弟（上）,8.3,历史苦难中的个人灾变,余华 / 上海文艺出版社 / 2005-8 / 16.00元,"(
                    61026人评价
                )"
亲爱的安德烈,8.7,龙应台母子对话，两代人的思想碰撞,龙应台 / 人民文学出版社 / 2008-12 / 26.00,"(
                    58388人评价
                )"
少有人走的路,8.4,成熟的心智通向更完善的自我,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,"(
                    59751人评价
                )"
基督山伯爵,9.0,完美的复仇，金庸用法语写作应该就是这样,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,"(
                    54687人评价
                )"
老人与海,8.3,正是悲壮赋予生活以意义,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,"(
                    59581人评价
                )"
民主的细节,8.6,公民养成手册,刘瑜 / 上海三联书店 / 2009-6 / 25.00,"(
                    56341人评价
                )"
